SALETYPE,SOLDDATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,URL,LATITUDE,LONGITUDE
PAST SALE,July-23-2019,Single Family Residential,6234 Flora Ave S,Seattle,WA,98108,1085000,4,2.5,2712,4000,2019,302,400,,http://www.redfin.com/WA/Seattle/6234-Flora-Ave-S-98108/home/164584123,47.5466096,-122.3191999
PAST SALE,December-10-2019,Single Family Residential,821 S Orcas St Unit A,Seattle,WA,98108,630000,4,2.25,1580,1436,2019,162,399,,http://www.redfin.com/WA/Seattle/821-S-Orcas-St-98108/unit-A/home/169754617,47.5498707,-122.3222463
PAST SALE,March-20-2020,Single Family Residential,8235 S 118th St,Seattle,WA,98178,695000,4,3.25,2196,3192,2018,61,316,61,http://www.redfin.com/WA/Seattle/8235-S-118th-St-98178/home/113996323,47.497105,-122.229224
PAST SALE,August-9-2019,Single Family Residential,6526 40th Ave SW,Seattle,WA,98136,875000,4,3,2370,6000,1997,285,369,,http://www.redfin.com/WA/Seattle/6526-40th-Ave-SW-98136/home/469334,47.5439638,-122.3827198
PAST SALE,August-15-2019,Single Family Residential,2131 8th Ave W,Seattle,WA,98119,1269000,4,3.25,2060,2099,2009,279,616,,http://www.redfin.com/WA/Seattle/2131-8th-Ave-W-98119/home/132516,47.6387069,-122.3679199
PAST SALE,August-12-2019,Single Family Residential,2847 NE 115th St,Seattle,WA,98125,765000,5,3,2260,8250,2001,282,338,,http://www.redfin.com/WA/Seattle/2847-NE-115th-St-98125/home/110930,47.7117635,-122.2964385
PAST SALE,October-4-2019,Single Family Residential,5710 39th Ave NE,Seattle,WA,98105,1135000,5,2.25,1950,7221,1981,229,582,,http://www.redfin.com/WA/Seattle/5710-39th-Ave-NE-98105/home/313577,47.6707699,-122.2854674
PAST SALE,October-18-2019,Single Family Residential,10220 41st Ave SW,Seattle,WA,98146,660000,4,2.5,2195,5332,2004,215,301,,http://www.redfin.com/WA/Seattle/10220-41st-Ave-SW-98146/home/155499,47.5113897,-122.3840526
PAST SALE,November-8-2019,Single Family Residential,3915 SW 97th St,Seattle,WA,98136,980000,4,2.75,2730,8400,2016,194,359,,http://www.redfin.com/WA/Seattle/3915-SW-97th-St-98136/home/155016,47.5163057,-122.3828337
PAST SALE,December-17-2019,Single Family Residential,10020 California Ave SW,Seattle,WA,98146,795000,4,2.5,2210,5285,2007,155,360,,http://www.redfin.com/WA/Seattle/10020-California-Ave-SW-98146/home/155860,47.5130823,-122.3869484
PAST SALE,January-13-2020,Single Family Residential,281 SW 97th Pl,Seattle,WA,98106,744900,5,2.75,2726,3760,2019,128,273,75,http://www.redfin.com/WA/Seattle/281-SW-97th-Pl-98106/home/167153003,47.5162863,-122.3384443
PAST SALE,January-23-2020,Single Family Residential,225 SW 96th Ln,Seattle,WA,98106,749900,5,2.5,2726,4462,2019,118,275,94,http://www.redfin.com/WA/Seattle/225-SW-96th-Ln-98106/home/167152999,47.516818,-122.3386
PAST SALE,April-3-2020,Single Family Residential,3609 SW 106th St,Seattle,WA,98146,810000,4,2.75,2400,7236,1983,47,338,,http://www.redfin.com/WA/Seattle/3609-SW-106th-St-98146/home/158339,47.5079586,-122.377472
PAST SALE,October-8-2019,Single Family Residential,710 W Howe St,Seattle,WA,98119,1380000,5,3.5,2715,2700,1988,225,508,,http://www.redfin.com/WA/Seattle/710-W-Howe-St-98119/home/134840,47.6361028,-122.3668732
PAST SALE,January-9-2020,Single Family Residential,275 SW 97th Pl,Seattle,WA,98106,749900,5,2.75,2726,3760,2019,132,275,75,http://www.redfin.com/WA/Seattle/275-SW-97th-Pl-98106/home/168685672,47.516324,-122.3383806
PAST SALE,October-11-2019,Single Family Residential,5625 40th Ave NE,Seattle,WA,98105,955000,4,2.5,2120,3776,2004,222,450,,http://www.redfin.com/WA/Seattle/5625-40th-Ave-NE-98105/home/2079134,47.6700537,-122.2851569
PAST SALE,August-7-2019,Single Family Residential,5503 20th Ave S,Seattle,WA,98108,999990,4,2.5,2486,6149,2017,287,402,,http://www.redfin.com/WA/Seattle/5503-20th-Ave-S-98108/home/482195,47.5532372,-122.3076513
PAST SALE,May-21-2019,Single Family Residential,4416 Dayton Ave N,Seattle,WA,98103,1349000,4,2.5,2486,2250,2018,365,543,,http://www.redfin.com/WA/Seattle/4416-Dayton-Ave-N-98103/home/303717,47.6607256,-122.3517625
PAST SALE,June-21-2019,Single Family Residential,6330 22nd Ave SW,Seattle,WA,98106,789000,4,3,2260,7232,2019,334,349,,http://www.redfin.com/WA/Seattle/6330-22nd-Ave-SW-98106/home/104014523,47.5454518,-122.3606925
PAST SALE,August-20-2019,Single Family Residential,8113 12th Ave SW,Seattle,WA,98106,641000,5,2.75,2645,3998,1988,274,242,,http://www.redfin.com/WA/Seattle/8113-12th-Ave-SW-98106/home/474884,47.5296766,-122.3509198
PAST SALE,August-30-2019,Single Family Residential,3020 NW 56th St,Seattle,WA,98107,1048000,4,3.25,1934,1779,2019,264,542,,http://www.redfin.com/WA/Seattle/3020-NW-56th-St-98107/home/162296,47.669683,-122.396567
PAST SALE,April-23-2020,Single Family Residential,2217 3rd Ave W,Seattle,WA,98119,1625000,4,3,2600,3600,2018,27,625,,http://www.redfin.com/WA/Seattle/2217-3rd-Ave-W-98119/home/132608,47.6389791,-122.3611732
PAST SALE,May-1-2020,Single Family Residential,11025 11th Ave SW,Seattle,WA,98146,781000,4,3,2615,7658,2020,19,299,,http://www.redfin.com/WA/Seattle/11025-11th-Ave-SW-98146/home/182192,47.5038774,-122.348794
PAST SALE,December-19-2019,Single Family Residential,5530 S Wallace St,Seattle,WA,98178,585000,5,3,2470,7205,2008,153,237,,http://www.redfin.com/WA/Seattle/5530-S-Wallace-St-98178/home/18661024,47.4976233,-122.2630466
PAST SALE,December-20-2019,Single Family Residential,9682 3rd Pl SW,Seattle,WA,98106,739900,5,2.75,2726,6335,2019,152,271,94,http://www.redfin.com/WA/Seattle/9682-3rd-PL-SW-98106/home/167153002,47.516237,-122.339202
PAST SALE,September-26-2019,Single Family Residential,3702 SW Webster St,Seattle,WA,98126,1340000,4,3,2634,7354,2016,237,509,,http://www.redfin.com/WA/Seattle/3702-SW-Webster-St-98126/home/101611451,47.5361344,-122.3793444
PAST SALE,September-13-2019,Single Family Residential,3125 S Adams St,Seattle,WA,98108,780000,4,2.5,1850,2856,2013,250,422,102,http://www.redfin.com/WA/Seattle/3125-S-Adams-St-98108/home/28581789,47.564992,-122.2929671
PAST SALE,November-12-2019,Single Family Residential,4321 28th Ave S,Seattle,WA,98108,875000,5,3.25,2739,6374,2006,190,319,115,http://www.redfin.com/WA/Seattle/4321-28th-Ave-S-98108/home/8186643,47.5636242,-122.2986918
PAST SALE,October-25-2019,Single Family Residential,4124 38th Ave S,Seattle,WA,98118,745000,4,2.5,2130,4590,2001,208,350,,http://www.redfin.com/WA/Seattle/4124-38th-Ave-S-98118/home/171761,47.5653529,-122.2846187
PAST SALE,December-26-2019,Single Family Residential,2521 S Graham St,Seattle,WA,98108,680000,5,3,2030,5760,1998,146,335,,http://www.redfin.com/WA/Seattle/2521-S-Graham-St-98108/home/479044,47.5458824,-122.2993471
PAST SALE,October-8-2019,Single Family Residential,4331 SW Cambridge St,Seattle,WA,98136,1150000,4,2.5,2150,5900,2008,225,535,,http://www.redfin.com/WA/Seattle/4331-SW-Cambridge-St-98136/home/18665014,47.5181036,-122.3888816
